id,State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransport,WorkAtHome,Mean,Employment,PrivateWork,PublicWork,selfEmployed,FamilyWork,Unemployment
13,Georgia,10006693,4883331,5123362,6.079245283,63.11383648,27.99245283,0.160377358,1.125786164,0.026415094,6978660,40704.91195,3136.314465,20566.00629,1436.767296,22.19811321,31.76163522,28.8245283,17.80314465,23.17106918,12.59811321,17.60377358,81.2509434,11.1245283,0.608805031,1.749056604,1.735220126,3.528930818,25.44402516,27599.20755,74.41194969,19.00754717,6.388679245,0.187421384,9.974213836
15,Hawaii,1406299,709871,696428,9.48,29.88,0.86,0.14,28.9,14.74,1001729,64879,3410.8,31892.6,2187.6,13.22,17.225,31.3,25.08,23.66,9.56,10.42,64.36,11.7,2.64,10.86,5.12,5.32,21.24,130656.8,63.08,27.42,9.24,0.22,5.2
16,Idaho,1616547,810464,806083,12.42272727,83.44545455,0.334090909,1.361363636,0.602272727,0.077272727,1130550,43607.75,3308.136364,21451.11364,1499.022727,16.19318182,20.85909091,29.20454545,18.56136364,21.21818182,16.47727273,14.55,75.03181818,11.37272727,0.681818182,4.588636364,2.065909091,6.270454545,21.23863636,16269.56818,72.38409091,18.20227273,8.929545455,0.486363636,7.081818182
17,Illinois,12873761,6316899,6556862,4.665686275,87.36470588,5.154901961,0.141176471,1.149019608,0.011764706,8979999,50163.44118,2524.892157,25485.71569,1162.470588,14.21078431,20.03235294,30.10784314,18.4627451,22.70686275,10.75588235,17.96176471,81.80294118,9.318627451,1.096078431,2.576470588,1.235294118,3.980392157,23.56176471,59668.88235,78.60196078,14.59705882,6.603921569,0.194117647,7.974509804
18,Indiana,6568645,3235263,3333382,3.680434783,91.20108696,2.619565217,0.186956522,0.889130435,0.022826087,4801113,48745.40217,2328.847826,23977.06522,1016.293478,13.89021739,19.84456522,28.20326087,16.84782609,21.51521739,10.64456522,22.7923913,83.21413043,9.534782609,0.522826087,2.019565217,1.475,3.240217391,24.30869565,33030.02174,82.95869565,11.40217391,5.413043478,0.225,7.333695652
19,Iowa,3093526,1534595,1558931,4.262626263,92.01818182,1.21010101,0.270707071,0.953535354,0.046464646,2285126,50483.12121,2620.555556,26555.86869,1344.252525,11.85050505,15.73939394,31.22929293,16.48080808,21.74545455,11.47878788,19.06363636,79.10909091,9.333333333,0.516161616,4.039393939,1.549494949,5.447474747,19.4040404,15894.0404,77.42626263,13.16262626,9.068686869,0.338383838,4.608080808
20,Kansas,2892987,1439862,1453125,9.361904762,85.31238095,1.747619048,0.757142857,0.743809524,0.04,2053919,47322.20952,3755.257143,24953.04762,1767.533333,12.88285714,17.41904762,33.43428571,16.90285714,20.44571429,14.11333333,15.10380952,78.86190476,10.38761905,0.215238095,4.03047619,1.383809524,5.121904762,17.58571429,13344.73333,70.06095238,18.89333333,10.68190476,0.36952381,4.648571429
21,Kentucky,4397353,2164208,2233145,2.1775,92.09666667,3.656666667,0.158333333,0.459166667,0.033333333,3297108,39137.3,2938.216667,20663.60833,1290.525,21.8275,30.12166667,28.2675,17.16083333,22.13916667,12.60083333,19.83166667,82.50416667,10.73916667,0.450833333,1.979166667,1.264166667,3.07,25.26083333,15761.50833,75.97416667,17.17333333,6.644166667,0.211666667,9.3375
22,Louisiana,4625253,2261156,2364097,3.2828125,62.040625,31.725,0.603125,0.778125,0.03125,3410634,41411.78125,2990.09375,22064.60938,1230.8125,21.95625,30.9703125,28.4921875,19.6546875,22.6015625,14.9078125,14.334375,83.9375,9.575,0.571875,1.7703125,1.946875,2.19375,26.5109375,31500.76563,76.284375,17.9359375,5.63125,0.15625,9.2328125
23,Maine,1329100,650081,679019,1.31875,94.6375,0.69375,0.71875,0.80625,0.00625,1048274,46141.75,1735.25,25792.3125,851.375,15.1,20.88125,32.725,19.11875,22.775,12.60625,12.775,77.525,10.73125,0.40625,4.09375,1.55,5.6875,23.33125,40542.9375,74.86875,14.59375,10.4,0.15,7.4375
24,Maryland,5930538,2872643,3057895,5.466666667,68.92916667,19.7875,0.166666667,3.208333333,0.025,4182241,69200.375,2031.458333,33073.20833,928.875,11.2375,16.13333333,39.05,18.44583333,23.18333333,9.616666667,9.7,78.55,9.25,3.916666667,2.4375,1.291666667,4.545833333,29.96666667,124021,72.9875,21.20833333,5.645833333,0.166666667,7.475
25,Massachusetts,6705586,3249650,3455936,8.571428571,79.31428571,5.621428571,0.185714286,3.835714286,0.007142857,4850598,65974.42857,2174.071429,35554.42857,1071.571429,12.04285714,16.57142857,40.63571429,18.54285714,22.7,9.242857143,8.878571429,73.8,7.75,6.264285714,5.057142857,2.05,5.064285714,24.92142857,243998.2143,77.3,13.96428571,8.621428571,0.135714286,7.292857143
26,Michigan,9900571,4861973,5038598,3.307228916,88.45180723,3.91686747,1.259036145,0.975903614,0.013253012,7380136,44464.98795,1562.891566,23662.20482,830.0963855,16.68795181,24.31927711,29.23012048,19.88072289,22.9939759,10.52048193,17.37349398,80.78072289,9.878313253,0.697590361,2.989156627,1.421686747,4.234939759,22.89156627,52692.98795,79.67710843,13.51927711,6.51686747,0.295180723,9.962650602
27,Minnesota,5419171,2692166,2727005,4.011494253,89.5954023,1.435632184,1.877011494,1.356321839,0.044827586,3950807,53926.98851,2199.908046,27610.42529,970.9770115,11.67241379,15.48045977,32.83103448,17.51494253,21.46321839,11.60229885,16.60114943,78.04712644,9.627586207,1.073563218,3.781609195,1.374712644,6.091954023,21.15747126,32496.49425,77.67931034,13.41724138,8.652873563,0.257471264,4.975862069
28,Mississippi,2988081,1451723,1536358,2.331707317,54.79512195,41.04512195,0.491463415,0.509756098,0.01097561,2210424,34938.92683,2928.414634,18805.04878,1324.146341,25.72317073,36.26463415,28.04512195,17.85731707,22.02804878,12.72926829,19.34146341,83.72439024,10.63170732,0.426829268,1.590243902,1.506097561,2.115853659,26.11097561,14681.87805,75.1402439,18.95243902,5.708536585,0.186585366,12.02439024
29,Missouri,6045448,2964003,3081445,2.629565217,90.86956522,3.52,0.473913043,0.609565217,0.092173913,4525035,41755.4,2564.721739,21504.78261,1129.53913,18.05826087,25.24782609,28.80086957,18.64434783,22.4226087,12.44956522,17.68,79.45652174,11.50521739,0.440869565,2.451304348,1.382608696,4.755652174,23.50782609,24417.35652,76.15652174,15.02521739,8.502608696,0.310434783,7.605217391
30,Montana,1014699,510163,504536,2.496428571,87.225,0.248214286,7.639285714,0.421428571,0.094642857,781250,44497.01786,4465.75,25020.67857,2039.607143,15.71964286,21.54464286,36.42321429,17.95714286,19.75357143,16.3,9.567857143,69.55892857,10.11071429,0.616071429,7.789285714,1.707142857,10.2125,17.83928571,8668.678571,63.2875,21.1125,14.2,1.401785714,5.553571429
31,Nebraska,1869365,929606,939759,6.082795699,90.1516129,0.764516129,1.158064516,0.505376344,0.052688172,1333860,48646.12903,3770.096774,26336.84946,2199.150538,11.97526882,16.25913978,34.35591398,15.79032258,20.78494624,14.56666667,14.49892473,74.65376344,9.756989247,0.269892473,5.293548387,1.216129032,8.823655914,18.0827957,10410.04301,69.57311828,16.09784946,13.8688172,0.460215054,3.34516129
32,Nevada,2798636,1407735,1390901,16.87647059,73.02352941,2.029411765,3.723529412,1.894117647,0.282352941,1863799,53689.70588,5626.176471,26317.70588,2108.117647,14.02941176,19.98823529,28.75294118,20.92352941,20.88235294,17.92941176,11.51176471,72.86470588,11.74117647,3.147058824,6.858823529,1.576470588,3.8,22.7,74547.76471,71.14117647,22.41176471,6.323529412,0.135294118,10.47647059
